Zip_Code 3degit,Pref.,East/West,Duplication,都道府県
1,Hokkaido,East,,北海道
2,Hokkaido,East,,北海道
3,Hokkaido,East,,北海道
4,Hokkaido,East,,北海道
5,Hokkaido,East,,北海道
6,Hokkaido,East,,北海道
7,Hokkaido,East,,北海道
10,Akita,East,,秋田県
11,Akita,East,,秋田県
12,Akita,East,,秋田県
13,Akita,East,,秋田県
14,Akita,East,,秋田県
15,Akita,East,,秋田県
16,Akita,East,,秋田県
17,Akita,East,,秋田県
18,Akita,East,,秋田県
18,Aomori,East,Duplication,青森県
19,Akita,East,,秋田県
20,岩手県,East,,岩手県
21,岩手県,East,,岩手県
22,岩手県,East,,岩手県
23,岩手県,East,,岩手県
24,岩手県,East,,岩手県
25,岩手県,East,,岩手県
26,岩手県,East,,岩手県
27,岩手県,East,,岩手県
28,岩手県,East,,岩手県
29,岩手県,East,,岩手県
30,Aomori,East,,青森県
31,Aomori,East,,青森県
33,Aomori,East,,青森県
34,Aomori,East,,青森県
35,Aomori,East,,青森県
36,Aomori,East,,青森県
37,Aomori,East,,青森県
38,Aomori,East,,青森県
39,Aomori,East,,青森県
40,Hokkaido,East,,北海道
41,Hokkaido,East,,北海道
42,Hokkaido,East,,北海道
43,Hokkaido,East,,北海道
44,Hokkaido,East,,北海道
45,Hokkaido,East,,北海道
46,Hokkaido,East,,北海道
47,Hokkaido,East,,北海道
48,Hokkaido,East,,北海道
49,Hokkaido,East,,北海道
50,Hokkaido,East,,北海道
51,Hokkaido,East,,北海道
52,Hokkaido,East,,北海道
53,Hokkaido,East,,北海道
54,Hokkaido,East,,北海道
55,Hokkaido,East,,北海道
56,Hokkaido,East,,北海道
57,Hokkaido,East,,北海道
58,Hokkaido,East,,北海道
59,Hokkaido,East,,北海道
60,Hokkaido,East,,北海道
61,Hokkaido,East,,北海道
62,Hokkaido,East,,北海道
63,Hokkaido,East,,北海道
64,Hokkaido,East,,北海道
65,Hokkaido,East,,北海道
66,Hokkaido,East,,北海道
67,Hokkaido,East,,北海道
68,Hokkaido,East,,北海道
69,Hokkaido,East,,北海道
70,Hokkaido,East,,北海道
71,Hokkaido,East,,北海道
72,Hokkaido,East,,北海道
73,Hokkaido,East,,北海道
74,Hokkaido,East,,北海道
75,Hokkaido,East,,北海道
76,Hokkaido,East,,北海道
77,Hokkaido,East,,北海道
78,Hokkaido,East,,北海道
79,Hokkaido,East,,北海道
80,Hokkaido,East,,北海道
81,Hokkaido,East,,北海道
82,Hokkaido,East,,北海道
83,Hokkaido,East,,北海道
84,Hokkaido,East,,北海道
85,Hokkaido,East,,北海道
86,Hokkaido,East,,北海道
87,Hokkaido,East,,北海道
88,Hokkaido,East,,北海道
89,Hokkaido,East,,北海道
90,Hokkaido,East,,北海道
91,Hokkaido,East,,北海道
92,Hokkaido,East,,北海道
93,Hokkaido,East,,北海道
94,Hokkaido,East,,北海道
95,Hokkaido,East,,北海道
96,Hokkaido,East,,北海道
97,Hokkaido,East,,北海道
98,Hokkaido,East,,北海道
99,Hokkaido,East,,北海道
100,Tokyo,East,,東京都
101,Tokyo,East,,東京都
102,Tokyo,East,,東京都
103,Tokyo,East,,東京都
104,Tokyo,East,,東京都
105,Tokyo,East,,東京都
106,Tokyo,East,,東京都
107,Tokyo,East,,東京都
108,Tokyo,East,,東京都
110,Tokyo,East,,東京都
111,Tokyo,East,,東京都
112,Tokyo,East,,東京都
113,Tokyo,East,,東京都
114,Tokyo,East,,東京都
115,Tokyo,East,,東京都
116,Tokyo,East,,東京都
120,Tokyo,East,,東京都
121,Tokyo,East,,東京都
123,Tokyo,East,,東京都
124,Tokyo,East,,東京都
125,Tokyo,East,,東京都
130,Tokyo,East,,東京都
131,Tokyo,East,,東京都
132,Tokyo,East,,東京都
133,Tokyo,East,,東京都
134,Tokyo,East,,東京都
135,Tokyo,East,,東京都
136,Tokyo,East,,東京都
140,Tokyo,East,,東京都
141,Tokyo,East,,東京都
142,Tokyo,East,,東京都
143,Tokyo,East,,東京都
144,Tokyo,East,,東京都
145,Tokyo,East,,東京都
146,Tokyo,East,,東京都
150,Tokyo,East,,東京都
151,Tokyo,East,,東京都
152,Tokyo,East,,東京都
153,Tokyo,East,,東京都
154,Tokyo,East,,東京都
155,Tokyo,East,,東京都
156,Tokyo,East,,東京都
157,Tokyo,East,,東京都
158,Tokyo,East,,東京都
160,Tokyo,East,,東京都
161,Tokyo,East,,東京都
162,Tokyo,East,,東京都
163,Tokyo,East,,東京都
164,Tokyo,East,,東京都
165,Tokyo,East,,東京都
166,Tokyo,East,,東京都
167,Tokyo,East,,東京都
168,Tokyo,East,,東京都
169,Tokyo,East,,東京都
170,Tokyo,East,,東京都
171,Tokyo,East,,東京都
173,Tokyo,East,,東京都
174,Tokyo,East,,東京都
175,Tokyo,East,,東京都
176,Tokyo,East,,東京都
177,Tokyo,East,,東京都
178,Tokyo,East,,東京都
179,Tokyo,East,,東京都
180,Tokyo,East,,東京都
181,Tokyo,East,,東京都
182,Tokyo,East,,東京都
183,Tokyo,East,,東京都
184,Tokyo,East,,東京都
185,Tokyo,East,,東京都
186,Tokyo,East,,東京都
187,Tokyo,East,,東京都
188,Tokyo,East,,東京都
189,Tokyo,East,,東京都
190,Tokyo,East,,東京都
191,Tokyo,East,,東京都
192,Tokyo,East,,東京都
193,Tokyo,East,,東京都
194,Tokyo,East,,東京都
195,Tokyo,East,,東京都
196,Tokyo,East,,東京都
197,Tokyo,East,,東京都
198,Tokyo,East,,東京都
199,Kanagawa,East,,神奈川県
201,Tokyo,East,,東京都
202,Tokyo,East,,東京都
203,Tokyo,East,,東京都
204,Tokyo,East,,東京都
205,Tokyo,East,,東京都
206,Tokyo,East,,東京都
207,Tokyo,East,,東京都
208,Tokyo,East,,東京都
210,Kanagawa,East,,神奈川県
211,Kanagawa,East,,神奈川県
213,Kanagawa,East,,神奈川県
214,Kanagawa,East,,神奈川県
215,Kanagawa,East,,神奈川県
216,Kanagawa,East,,神奈川県
220,Kanagawa,East,,神奈川県
221,Kanagawa,East,,神奈川県
222,Kanagawa,East,,神奈川県
223,Kanagawa,East,,神奈川県
224,Kanagawa,East,,神奈川県
225,Kanagawa,East,,神奈川県
226,Kanagawa,East,,神奈川県
227,Kanagawa,East,,神奈川県
228,Kanagawa,East,,神奈川県
229,Kanagawa,East,,神奈川県
230,Kanagawa,East,,神奈川県
231,Kanagawa,East,,神奈川県
232,Kanagawa,East,,神奈川県
233,Kanagawa,East,,神奈川県
234,Kanagawa,East,,神奈川県
235,Kanagawa,East,,神奈川県
236,Kanagawa,East,,神奈川県
237,Kanagawa,East,,神奈川県
238,Kanagawa,East,,神奈川県
239,Kanagawa,East,,神奈川県
240,Kanagawa,East,,神奈川県
241,Kanagawa,East,,神奈川県
242,Kanagawa,East,,神奈川県
243,Kanagawa,East,,神奈川県
244,Kanagawa,East,,神奈川県
245,Kanagawa,East,,神奈川県
246,Kanagawa,East,,神奈川県
247,Kanagawa,East,,神奈川県
248,Kanagawa,East,,神奈川県
249,Kanagawa,East,,神奈川県
250,Kanagawa,East,,神奈川県
251,Kanagawa,East,,神奈川県
252,Kanagawa,East,,神奈川県
253,Kanagawa,East,,神奈川県
254,Kanagawa,East,,神奈川県
255,Kanagawa,East,,神奈川県
256,Kanagawa,East,,神奈川県
257,Kanagawa,East,,神奈川県
258,Kanagawa,East,,神奈川県
259,Kanagawa,East,,神奈川県
260,Chiba,East,,千葉県
261,Chiba,East,,千葉県
262,Chiba,East,,千葉県
263,Chiba,East,,千葉県
264,Chiba,East,,千葉県
265,Chiba,East,,千葉県
266,Chiba,East,,千葉県
