DC_Code,DC_Name,barcode,stock_no,description_1,description_2,category,category_name,total_inventory,shipping_qty,allocate_qty,blocked_qty,available_qty,arrival_qty,expected_inventory,order_point,unit,uodate_date
02,DC02,101009,101009,電動ラウンジチェアSISTA-シスタ-ダークブラウン(アウトレット),,2EL2,アイラッシュ,3,0,0,0,3,0,3,0,PC,2020/03/30 12:48:44

02,DC02,102702,102702,DC02　品質管理T返送用伝票,,,,88,0,0,0,88,0,88,0,PC,2020/07/21 13:47:40

02,DC02,105296,105296,【シャビーシック】バックシャンプーキャビネットRENE-B（上部） アンティーク,,2HA2,理美容・ヘア,5,0,0,0,5,0,5,0,PC,2020/03/25 13:53:39

02,DC02,105394A,105394,電動ラウンジチェア SHIFFON（シフォン）（ホワイト）,,2ES2,エステティック,16,0,0,0,16,0,16,0,PC,2020/08/04 15:39:22

02,DC02,105482,105482,【シャビーシック】アンティーク木製ワゴン DIAN（ディアン）Type BOX,,2HA2,理美容・ヘア,8,0,0,0,8,0,8,0,PC,2020/07/31 16:34:12

02,DC02,108767,108767,【ラグジュアリー】スタイリングチェア CUBEⅡ（キューブツー）（トップ）ヴィン,,2HA2,理美容・ヘア,1,0,0,0,1,0,1,0,PC,2020/03/10 15:40:37

02,DC02,108977A,108977,【アウトレット品】電動リクライニングチェア PORTE（ポルテ）,,2NA2,ネイル,1,0,0,0,1,0,1,0,PC,2020/03/26 17:48:25

02,DC02,110428,110428,スタンダードネイルテーブル,,2NA2,ネイル,2,0,0,0,2,0,2,0,PC,2020/03/26 17:39:25

02,DC02,111095,111095,【シャビーシック】スタイリングチェアNOE（トップ）アンティークブラウン,,2HA2,理美容・ヘア,6,0,0,0,6,0,6,0,PC,2020/03/05 16:22:51

02,DC02,111096,111096,【ヴィンテージ】スタイリングチェア CLUB-RⅡ（トップ） ヴィンテージブラウ,,2HA2,理美容・ヘア,1,0,0,0,1,0,1,0,PC,2020/03/25 13:53:39

02,DC02,111097,111097,【ラグジュアリー】スタイリングチェア CLUB-F（クラブエフ）（トップ） ダー,,2HA2,理美容・ヘア,2,0,0,0,2,0,2,0,PC,2020/03/25 13:53:39

02,DC02,116477,116477,【シャビーシック】天然木製片面ドレッサーLOUISⅡ（下部） アンティーブラウン,,2HA2,理美容・ヘア,2,0,0,0,2,0,2,0,PC,2020/03/30 13:42:22

02,DC02,116481,116481,【シャビーシック】シャンプーキャビネットRENE-S（上部） アンティークライト,,2HA2,理美容・ヘア,13,0,0,0,13,0,13,0,PC,2020/04/03 16:53:31

02,DC02,117986,117986,【アウトレット】ネイルテーブル シングルキャビネット Advance キャビネッ,,2NA2,ネイル,1,0,0,0,1,0,1,0,PC,2020/03/26 17:40:04

02,DC02,118050,118050,【パーツリスト】アームレスト_RUBINO【DELUXE】ダークブラウン,,2HA2,理美容・ヘア,2,0,0,0,2,0,2,0,PC,2020/07/27 14:42:41

02,DC02,118051,118051,【パーツリスト】アームレスト_RUBINO【DELUXE】ブラック,,2HA2,理美容・ヘア,1,0,0,0,1,0,1,0,PC,2020/07/09 15:15:12

02,DC02,118498,118498,【アウトレット】手動ラウンジチェア SHIFFON Jr-S （シフォンジュニア,,2ES2,エステティック,1,0,0,0,1,0,1,0,PC,2020/04/03 17:18:11

02,DC02,118669,118669,電動ラウンジチェア SHIFFON（シフォン）（ダークブラウン）,,2ES2,エステティック,16,0,0,0,16,0,16,0,PC,2020/07/29 14:10:08

02,DC02,118901,118901,ドリッパ/スタンド（シロダーラセット用）,,2ML2,マッサージ・リラク,11,0,0,0,11,0,11,0,PC,2020/04/03 17:18:11

02,DC02,118902,118902,土台（シロダーラセット用）,,2ML2,マッサージ・リラク,19,0,0,0,19,0,19,0,PC,2020/04/03 17:18:11

02,DC02,118988,118988,【シャビーシック】スタイリングチェアCHALON（トップ） アッシュグレー,,2HA2,理美容・ヘア,1,0,0,0,1,0,1,0,PC,2020/03/25 13:53:39

02,DC02,119238,119238,【シャビーシック】天然木製両面ドレッサーLOUISⅡ（下部） アンティークブラウ,,2HA2,理美容・ヘア,3,0,0,0,3,0,3,0,PC,2020/03/26 17:53:58

02,DC02,119414,119414,【カフェラウンジ】スタイリングチェアCOAST アッシュグレー,,2HA2,理美容・ヘア,6,0,0,0,6,0,6,0,PC,2020/03/25 13:53:39

02,DC02,119417,119417,【カフェラウンジ】スタイリングチェアCOASTデニム,,2HA2,理美容・ヘア,6,0,0,0,6,0,6,0,PC,2020/03/25 13:53:39

02,DC02,119934,119934,CH-2251-2ベース（OLDEST-S用）,,2HA2,理美容・ヘア,1,0,0,0,1,0,1,0,PC,2020/05/19 14:13:44

02,DC02,121619,121619,SPAZIO MACARO用シャンプースタンド（本体） ブラック,,2HA2,理美容・ヘア,1,0,0,0,1,0,1,0,PC,2020/03/26 18:03:26

02,DC02,121620,121620,【アーバン】スタイリングチェアARNET（トップ） アッシュホワイト,,2HA2,理美容・ヘア,1,0,0,0,1,0,1,0,PC,2020/03/26 18:03:06

02,DC02,121655,121655,【パーツリスト】背もたれ上部除く_HD-051_ヴィンテージブラック,,2HA2,理美容・ヘア,1,0,0,1,0,0,0,0,PC,2020/03/19 13:02:09

02,DC02,122498,122498,【シャビーシック】天然木製両面ドレッサーLOUISⅡ（上部） アンティークホワイ,,,,2,0,0,0,2,0,2,0,PC,2020/04/01 16:17:34

02,DC02,126816A,126816,【アウトレット】電動ラウンジチェアSISTA-シスタ- ダークブラウン,,2EL2,アイラッシュ,2,0,0,0,2,0,2,0,PC,2020/06/27 16:36:59

02,DC02,130265,130265,【シャビーシック】シャンプーキャビネットRENE-S（上部）BR,,2HA2,理美容・ヘア,5,0,0,0,5,0,5,0,PC,2020/06/18 17:15:02

02,DC02,130274,130274,【シャビーシック】シャンプーキャビネットRENE-S（下部） BR,,2HA2,理美容・ヘア,52,0,0,0,52,0,52,0,PC,2020/06/27 16:00:55

02,DC02,130276,130276,【シャビーシック】天然木製サイドシャンプーキャビネットRENE-S（下部のみ）L,,2HA2,理美容・ヘア,31,0,0,0,31,0,31,0,PC,2020/06/19 13:51:54

02,DC02,130684,130684,【シャビーシック】天然木製サイドシャンプーキャビネットRENE-S（上部のみ）W,,2HA2,理美容・ヘア,13,0,0,0,13,0,13,0,PC,2020/06/18 17:17:28

02,DC02,130685,130685,【シャビーシック】天然木製サイドシャンプーキャビネットRENE-S（下部）WH,,2HA2,理美容・ヘア,20,0,0,0,20,0,20,0,PC,2020/07/09 14:01:26

02,DC02,4538634321186,XK-0259N,SAV-110KP,,2HA2,理美容・ヘア,9,0,0,0,9,10,19,0,PC,2020/07/02 17:22:33

02,DC02,4538634800841,XK-0271N,SAV-110KP用3mホース,,2HA2,理美容・ヘア,9,0,0,0,9,0,9,0,PC,2020/07/02 14:57:08

02,DC02,4560441252124,MI-1403P,【スタイリングウォールミラー】ブロンズウッド ブロンズ (ノーマルサイズ),,2HA2,理美容・ヘア,128,0,0,0,128,0,128,0,PC,2020/07/29 17:03:12

02,DC02,4560441252162,MI-1395P,【スタイリングウォールミラー】アンティークゴールド (ノーマルサイズ),,2HA2,理美容・ヘア,66,0,0,0,66,0,66,0,PC,2020/07/27 17:16:29

02,DC02,4560441256054,DE-2278P,スタンダードエステベッドF-201（有孔）,,2ES2,エステティック,27,0,0,0,27,0,27,0,PC,2020/07/31 15:25:52

